t_s,delta,counts,rpm_raw,rpm_filt
6689.000,-638,-103712,-319.00,-142.68
6689.100,312,-103400,156.00,-82.94
6689.200,-489,-103889,-244.50,-115.26
6689.300,-391,-104280,-195.50,-131.30
6689.400,179,-104101,89.50,-87.14
6689.500,-597,-104698,-298.50,-129.42
6689.600,-183,-104881,-91.50,-121.83
6689.700,-160,-105041,-80.00,-113.47
6689.800,-613,-105654,-306.50,-152.07
6689.900,115,-105539,57.50,-110.16
6690.000,-395,-105934,-197.50,-127.63
6690.100,-513,-106447,-256.50,-153.40
6690.200,155,-106292,77.50,-107.22
6690.300,-577,-106869,-288.50,-143.48
6690.400,-146,-107015,-73.00,-129.38
6690.500,90,-106925,45.00,-94.51
6690.600,-570,-107495,-285.00,-132.60
6690.700,-88,-107583,-44.00,-114.88
6690.800,-496,-108079,-248.00,-141.51
6690.900,-400,-108479,-200.00,-153.21
6691.000,240,-108239,120.00,-98.56
6691.100,-732,-108971,-366.00,-152.05
6691.200,-26,-108997,-13.00,-124.24
6691.300,-180,-109177,-90.00,-117.39
6691.400,-526,-109703,-263.00,-146.51
6691.500,-37,-109740,-18.50,-120.91
6691.600,-392,-110132,-196.00,-135.93
6691.700,-485,-110617,-242.50,-157.24
6691.800,-35,-110652,-17.50,-129.29
6691.900,-576,-111228,-288.00,-161.04
6692.000,-101,-111329,-50.50,-138.93
6692.100,-199,-111528,-99.50,-131.04
6692.200,-613,-112141,-306.50,-166.13
6692.300,-142,-112283,-71.00,-147.11
6692.400,-338,-112621,-169.00,-151.49
6692.500,-616,-113237,-308.00,-182.79
6692.600,-18,-113255,-9.00,-148.03
6692.700,-404,-113659,-202.00,-158.82
6692.800,-482,-114141,-241.00,-175.26
6692.900,-30,-114171,-15.00,-143.21
6693.000,-484,-114655,-242.00,-162.97
6693.100,-315,-114970,-157.50,-161.87
6693.200,-26,-114996,-13.00,-132.10
6693.300,-611,-115607,-305.50,-166.78
6693.400,-145,-115752,-72.50,-147.92
6693.500,34,-115718,17.00,-114.94
6693.600,-339,-116057,-169.50,-125.85
6693.700,33,-116024,16.50,-97.38
6693.800,-127,-116151,-63.50,-90.60
6693.900,-582,-116733,-291.00,-130.68
6694.000,194,-116539,97.00,-85.15
6694.100,-234,-116773,-117.00,-91.52
6694.200,-454,-117227,-227.00,-118.61
6694.300,217,-117010,108.50,-73.19
6694.400,-353,-117363,-176.50,-93.85
6694.500,-552,-117915,-276.00,-130.28
6694.600,115,-117800,57.50,-92.73
6694.700,-266,-118066,-133.00,-100.78
6694.800,-439,-118505,-219.50,-124.52
6694.900,242,-118263,121.00,-75.42
6695.000,-385,-118648,-192.50,-98.84
